department,institution,ancmNo,ancmDate,period,title,link,bsnsTitle#1,bsnsTitle#2,bsnsTitle#3,bsnsTitle#4,bsnsTitle#5,bsnsTitle#6,bsnsTitle#7,bsnsTitle#8,bsnsTitle#9,bsnsTitle#10,bsnsTitle#11,bsnsTitle#12,bsnsTitle#13,bsnsTitle#14,bsnsTitle#15,bsnsTitle#16,bsnsTitle#17,bsnsTitle#18,bsnsTitle#19,bsnsTitle#20,bsnsTitle#21,bsnsTitle#22,bsnsTitle#23,bsnsTitle#24,bsnsTitle#25,bsnsTitle#26,bsnsTitle#27,bsnsTitle#28,bsnsTitle#29,bsnsTitle#30,bsnsTitle#31,bsnsTitle#32,bsnsTitle#33,bsnsTitle#34,bsnsTitle#35,bsnsTitle#36,bsnsTitle#37,bsnsTitle#38,bsnsTitle#39,bsnsTitle#40
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-456호,2023-03-08,2023-03-08 ~ 2023-03-15,2023년도 갯벌 공간정보 변화 모니터링 기술개발 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,해당없음(정책지정),2023-03-15,2023-03-15 ~ 2023-03-16,2023년 방송통신정책연구(정책지정) 과제 접수,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2023-233호,2023-03-09,2023-03-10 ~ 2023-03-20,2023년도 반도체 분야 신규지원 대상과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_032,2023-03-07,2023-03-07 ~ 2023-03-10,2023년도 한-스웨덴 협력활동사업 신규과제 지정공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-459호,2023-03-08,2023-03-08 ~ 2023-03-21,2023년도 기술창업 Scale-up사업 신규과제 선정계획 부분 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-457호,2023-03-09,2023-03-09 ~ 2023-03-16,2023년도 해저활성단층 특성 규명 연구사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-455호,2023-03-08,2023-03-08 ~ 2023-03-15,2023년도 탄소중립 실현을 위한 파력발전 상용화 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-492호,2023-03-10,2023-03-10 ~ 2023-03-17,고품질 준실시간 해양그리드 데이터서비스 체계 개발사업 신규과제 선정계획 재공고  ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,II_2023_002,2023-03-09,2023-03-09 ~ 2023-03-23,ICT전문인력 수급 실태조사 및 전망,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-460호,2023-03-08,2023-03-08 ~ 2023-03-15,2023년도 해양 위험유해물질(HNS) 배출 등 관리기술 개발사업 신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
