department,institution,ancmNo,category,bsnsTitle,title,link,ancmDate,period
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-456호,,,2023년도 갯벌 공간정보 변화 모니터링 기술개발 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002001,2023-03-08,2023-03-08 ~ 2023-03-15
과학기술정보통신부,정보통신기획평가원,해당없음(정책지정),,,2023년 방송통신정책연구(정책지정) 과제 접수,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002003,2023-03-15,2023-03-15 ~ 2023-03-16
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2023-233호,,,2023년도 반도체 분야 신규지원 대상과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002004,2023-03-09,2023-03-10 ~ 2023-03-20
과학기술정보통신부,한국연구재단,NR_2023_032,,,2023년도 한-스웨덴 협력활동사업 신규과제 지정공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002005,2023-03-07,2023-03-07 ~ 2023-03-10
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-459호,,,2023년도 기술창업 Scale-up사업 신규과제 선정계획 부분 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002007,2023-03-08,2023-03-08 ~ 2023-03-21
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-457호,,,2023년도 해저활성단층 특성 규명 연구사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002008,2023-03-09,2023-03-09 ~ 2023-03-16
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-455호,,,2023년도 탄소중립 실현을 위한 파력발전 상용화 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002009,2023-03-08,2023-03-08 ~ 2023-03-15
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-492호,,,고품질 준실시간 해양그리드 데이터서비스 체계 개발사업 신규과제 선정계획 재공고  ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002010,2023-03-10,2023-03-10 ~ 2023-03-17
과학기술정보통신부,정보통신기획평가원,II_2023_002,,,ICT전문인력 수급 실태조사 및 전망,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002011,2023-03-09,2023-03-09 ~ 2023-03-23
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-460호,,,2023년도 해양 위험유해물질(HNS) 배출 등 관리기술 개발사업 신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002012,2023-03-08,2023-03-08 ~ 2023-03-15
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-490호,,,2023년도 해양수산 과학기술 국제협력 고도화사업(석학우수신진 참여형 UN 해양과학 10개년 계획 이행 연구) 신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002013,2023-03-10,2023-03-10 ~ 2023-03-17
산업통상자원부,한국산업기술진흥원,제2023 -229호,,,2023년도 대·중견·중소디지털협업공장구축기술개발사업 시행계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002014,2023-03-03,2023-03-03 ~ 2023-04-03
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-452호,,,2023년도 급격한 남극 빙상 용융에 따른 근미래 전지구 해수면 상승 예측기술 개발사업신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002015,2023-03-09,2023-03-09 ~ 2023-03-16
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 0304호,,,2023년도 원전해체 경쟁력 강화 기술개발사업 신규과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002016,2023-03-10,2023-03-10 ~ 2023-03-22
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 0305호,,,2023년도 원자력국제공동연구지원사업 신규과제 재공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002017,2023-03-10,2023-03-10 ~ 2023-03-22
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0000호,,,2023년도 미래원자력기술 시설ㆍ장비구축활용사업 신규과제(1차) 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002018,2023-03-10,2023-03-10 ~ 2023-03-22
과학기술정보통신부,정보통신기획평가원,과학기술정보통신부 공고 제2023-0359호,,,2023년도 제2차 60㎓ 이하 대역 5G 전파 응용서비스 활용기반 조성사업 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002019,2023-03-24,2023-03-24 ~ 2023-04-14
